pin,type,bank,glb,mc,oe,clk
B5,io,0,0,5,,
A5,io,0,0,6,,
D6,io,0,0,0,0,
B6,io,0,0,1,,
A6,io,0,0,2,,
C6,io,0,0,4,,
C4,io,0,0,13,,
B3,io,0,0,14,,
A2,no_connect,,,,,
A4,io,0,0,8,,
B4,io,0,0,9,,
C5,io,0,0,10,,
A3,io,0,0,12,,
B1,io,0,1,1,,
B2,io,0,1,0,,
D1,io,0,1,6,,
C1,io,0,1,5,,
C2,io,0,1,4,,
C3,io,0,1,2,,
A7,clk,0,0,,,0
L6,clk,0,3,,,1
M6,clk,1,4,,,2
C7,clk,1,7,,,3
F3,io,0,1,14,,
E1,io,0,1,8,,
D3,no_connect,,,,,
D2,no_connect,,,,,
F1,io,0,1,13,,
D4,io,0,1,12,,
F2,io,0,1,10,,
E2,io,0,1,9,,
G1,io,0,2,14,,
H3,io,0,2,8,,
H2,no_connect,,,,,
E3,io,0,2,13,,
G2,io,0,2,12,,
G3,io,0,2,10,,
H1,io,0,2,9,,
K2,io,0,2,1,,
L1,io,0,2,0,,
J1,io,0,2,6,,
J3,io,0,2,5,,
J2,io,0,2,4,,
K1,io,0,2,2,,
L4,io,0,3,8,,
M2,io,0,3,14,,
K3,no_connect,,,,,
M1,no_connect,,,,,
M3,io,0,3,9,,
K4,io,0,3,10,,
J4,io,0,3,12,,
L3,io,0,3,13,,
F06,gnd,,,,,
F07,gnd,,,,,
G06,gnd,,,,,
G07,gnd,,,,,
E6,gnd,,,,,
F05,gnd,,,,,
G05,gnd,,,,,
H04,gnd,,,,,
H06,gnd,,,,,
E07,gnd,,,,,
F08,gnd,,,,,
G08,gnd,,,,,
H7,gnd,,,,,
J09,gnd,,,,,
L5,io,0,3,5,,
M4,io,0,3,6,,
K6,io,0,3,0,,
M5,io,0,3,1,,
J6,io,0,3,2,,
K5,io,0,3,4,,
L8,io,1,4,5,,
M8,io,1,4,6,,
K7,io,1,4,0,,
M7,io,1,4,1,,
L7,io,1,4,2,,
J7,io,1,4,4,,
L10,io,1,4,13,,
K9,io,1,4,14,,
M11,no_connect,,,,,
M9,io,1,4,8,,
L9,io,1,4,9,,
K8,io,1,4,10,,
M10,io,1,4,12,,
L11,io,1,5,1,,
L12,io,1,5,0,,
K11,io,1,5,6,,
J10,io,1,5,5,,
K12,io,1,5,4,,
K10,io,1,5,2,,
G10,io,1,5,14,,
H10,io,1,5,8,,
J11,no_connect,,,,,
J12,no_connect,,,,,
G12,io,1,5,13,,
H11,io,1,5,12,,
G11,io,1,5,10,,
H12,io,1,5,9,,
F12,io,1,6,14,,
F10,io,1,6,8,,
D12,no_connect,,,,,
F11,io,1,6,13,,
E11,io,1,6,12,,
E12,io,1,6,10,,
D10,io,1,6,9,,
C11,io,1,6,1,,
B12,io,1,6,0,,
E10,io,1,6,6,,
D11,io,1,6,5,,
E9,io,1,6,4,,
C12,io,1,6,2,,
A10,io,1,7,8,,
B10,io,1,7,14,,
C10,no_connect,,,,,
A12,no_connect,,,,,
C9,io,1,7,9,,
B9,io,1,7,10,,
D9,io,1,7,12,,
A11,io,1,7,13,,
B8,io,1,7,5,,
A9,io,1,7,6,,
B7,io,1,7,0,1,
D7,io,1,7,1,,
A8,io,1,7,2,,
C8,io,1,7,4,,
L02,tck,,,,,
A01,tdi,,,,,
B11,tdo,,,,,
M12,tms,,,,,
E05,vcc_core,,,,,
E08,vcc_core,,,,,
H05,vcc_core,,,,,
H08,vcc_core,,,,,
D05,vcco_bank_0,,,,,
E4,vcco_bank_0,,,,,
F04,vcco_bank_0,,,,,
G4,vcco_bank_0,,,,,
J05,vcco_bank_0,,,,,
D08,vcco_bank_1,,,,,
F9,vcco_bank_1,,,,,
G09,vcco_bank_1,,,,,
H9,vcco_bank_1,,,,,
J08,vcco_bank_1,,,,,
