pin,type,bank,glb,mc,oe,clk
A1,io,0,0,6,,
A2,io,0,0,4,,
A3,io,0,0,2,,
A4,io,0,0,1,,
A5,clock,0,0,,,0
A6,io,1,3,0,1,
A7,io,1,3,6,,
A8,input,1,3,,,
A9,vcc_core,,,,,
A10,tdo,,,,,
B1,tdi,,,,,
B10,input,1,3,,,
C1,io,0,0,10,,
C3,io,0,0,8,,
C4,io,0,0,0,0,
C5,clock,1,3,,,3
C6,io,1,3,2,,
C7,io,1,3,4,,
C8,gnd,,,,,
C10,io,1,3,8,,
D1,io,0,0,11,,
D3,gndo,0,,,,
D8,io,1,3,12,,
D10,io,1,3,10,,
E1,input,0,1,,,
E3,io,0,0,15,,
E8,vcco,1,,,,
E10,io,1,3,15,,
F1,io,0,1,15,,
F3,vcco,0,,,,
F8,io,1,2,12,,
F10,input,1,3,,,
G1,io,0,1,10,,
G3,io,0,1,12,,
G8,gndo,1,,,,
G10,io,1,2,11,,
H1,io,0,1,8,,
H3,gnd,,,,,
H4,io,0,1,4,,
H5,io,0,1,2,,
H6,clock,0,1,,,1
H7,io,1,2,0,,
H8,io,1,2,8,,
H10,io,1,2,10,,
J1,input,0,1,,,
J10,tms,,,,,
K1,tck,,,,,
K2,vcc_core,,,,,
K3,input,0,1,,,
K4,io,0,1,6,,
K5,io,0,1,0,,
K6,clock,1,2,,,2
K7,io,1,2,1,,
K8,io,1,2,2,,
K9,io,1,2,4,,
K10,io,1,2,6,,
